,Species,Host
12137,Synechococcus phage P6,Synechococcus sp. WH 7805
12138,Synechococcus phage P12,Synechococcus sp. WH 8101
12139,Synechococcus phage P17,Synechococcus sp. WH 7803
12140,Synechococcus phage P77,Synechococcus sp. WH 8007
12141,Synechococcus phage P79,Synechococcus sp. WH 7805
12142,Synechococcus phage P81,Synechococcus sp. WH 7805
12143,Enterobacteria phage CP-1639,Escherichia coli
12144,Sinorhizobium phage PBC5,Sinorhizobium meliloti 2011
12145,Vibrio virus fs1,Vibrio cholerae
12146,Enterobacteria phage 6220,Escherichia coli
12147,Actinophage Q5,Unknown
12148,Bartonella henselae phage 60457,Bartonella henselae
12149,Bartonella quintana phage,Bartonella quintana
12150,Lactobacillus phage phiFSW,Lactobacillus casei
12151,Thermus phage PH75,Thermus thermophilus
12152,Streptococcusphage Q5,Unknown
12153,Streptococcus phage MD4,Streptococcus
12154,Streptococcus phage MD1,Streptococcus
12155,Streptococcus phage DT4,Streptococcus
12156,Streptococcus phage DT2,Streptococcus
12157,Streptococcus virus DT1,Streptococcus
12158,Cyanophage clone GS2601,Unknown
12159,Cyanophage clone GS2602,Unknown
12160,Cyanophage clone GS2603,Unknown
12161,Cyanophage clone GS2607,Unknown
12162,Cyanophage clone GS2608,Unknown
12163,Cyanophage clone GS2614,Unknown
12164,Cyanophage clone GS2620,Unknown
12165,Cyanophage clone GS2624,Unknown
12166,Cyanophage clone GS2626,Unknown
12167,Cyanophage clone GS2633,Unknown
12168,Cyanophage clone GS2649,Unknown
12169,Cyanophage clone GS2650,Unknown
12170,Cyanophage clone GS2651,Unknown
12171,Xanthomonas phage phiXo,Xanthomonas
12172,Propionibacterium phage 110E1t,Propionibacterium freudenreichii subsp. shermanii
12173,Escherichia virus Wphi,Escherichia coli
12174,Thermus phage PH75,Thermus
12175,Bacillus amyloliquefaciens phage Morita2001,Bacillus amyloliquefaciens
12176,Haemophilus virus HP2,Unknown
12177,Enterobacteria phage PP01,Escherichia coli O157:H7
12178,Lactococcus phage Q30,Lactococcus lactis subsp. lactis
12179,Lactococcus phage Q33,Lactococcus lactis subsp. lactis
12180,Lactococcus phage bIL285,Lactococcus lactis
12181,Lactococcus phage bIL286,Lactococcus lactis
12182,Lactococcus phage bIL309,Lactococcus lactis
12183,Lactococcus phage bIL310,Lactococcus lactis
12184,Lactococcus phage bIL311,Lactococcus lactis
12185,Lactococcus phage bIL312,Lactococcus lactis
12186,Mycobacterium virus Bxb1,Unknown
12187,Escherichia virus K5,Unknown
12188,Phage GMSE-1,Unknown
12189,Rhodothermus phage RM378,Rhodothermus
12190,Neisseria meningitidis phage 2120,Neisseria meningitidis
12191,Enterobacteria phage VT1-Sakai,Enterobacterales
12192,Streptococcus phage T12,Streptococcus
12193,Enterobacteria phage H-19B,Escherichia coli
12194,Phage PS34,Salmonella enterica subsp. enterica serovar Typhimurium
12195,Phage PS119,Salmonella enterica subsp. enterica serovar Typhimurium
12196,Escherichia virus RB3,Escherichia coli
12197,Shigella phage SfX,Shigella flexneri
12198,Hamiltonella virus APSE1,Escherichia coli
12199,Erwinia phage phi-Ea1h,Erwinia amylovora
12200,Lactococcus phage phiAM2,Lactococcus lactis
12201,Vibrio virus CTXphi,Vibrio mimicus
12202,Ralstonia phage P4282,Ralstonia solanacearum
12203,Phage Gifsy-2,Salmonella enterica subsp. enterica serovar Typhimurium
12204,Vibrio virus nt1,Vibrio
12205,Burkholderia phage 42,Burkholderia
12206,Lactococcus phage phi31,Lactococcus lactis
12207,Phage Gifsy-1,Salmonella enterica subsp. enterica serovar Typhimurium
12208,Corynephage beta,Corynebacterium diphtheriae
12209,Lactococcus phage Q42,Lactococcus
12210,Lactococcus phage Q7,Lactococcus
12211,Lactococcus phage eb1,Lactococcus
12212,Lactococcus phage phiQ38,Lactococcus
12213,Lactococcus phage Q44,Lactococcus
12214,Lactococcus phage P270,Lactococcus
12215,Lactococcus phage Q30,Lactococcus
12216,Lactococcus phage ul36A,Lactococcus
12217,Salmonella phage Fels-1,Salmonella
12218,Lactobacillus phage PL-1,Lactobacillus
12219,Unknown,Lactococcus
12220,Clostridium limosum phage,Hathewaya limosa
12221,Streptococcus virus Sfi11,Streptococcus
12222,Burkholderia phage 42,Burkholderia cepacia
12223,Enterobacterial phage P-EibA,Escherichia coli
12224,Enterobacteria phage P-EibC,Escherichia coli
12225,Enterobacteria phage P-EibD,Escherichia coli
12226,Enterobacteria phage P-EibE,Escherichia coli
12227,Streptococcus phage SFi18,Streptococcus
12228,Enterobacteria phage KC69,Escherichia coli
12229,Escherichia virus RB43,Escherichia coli
12230,Enterobacteria phage 1,Enterobacter cloacae
12231,Chlamydia virus Chp2,Chlamydia
12232,Lactococcus phage phi31.1,Lactococcus lactis
12233,Streptococcus phage S3b,Streptococcus
12234,Streptococcus phage ST64,Streptococcus
12235,Streptococcus phage S92,Streptococcus
12236,Streptococcus phage Sfi16A,Streptococcus
12237,Streptococcus phage ST3,Streptococcus
12238,Streptococcus phage J1,Streptococcus
12239,Yersinia virus YeO3-12,Yersinia enterocolitica
12240,Lactococcus phage TPW22,Lactococcus
12241,Enterobacteria phage F3,Enterobacterales
12242,Enterobacteria phage F5,Enterobacterales
12243,Enterobacteria phage F6,Enterobacterales
12244,Staphylococcus phage 42D.m,Staphylococcus
12245,Lambdoid phage HB-4,Unknown
12246,Streptococcus virus Sfi19,Unknown
12247,Lactobacillus phage phi-gle,Lactobacillus
12248,Streptococcus virus O1205,Unknown
12249,Streptococcus virus Sfi21,Unknown
12250,Bacteroides phage B40-8,Bacteroides
12251,Escherichia phage D108,Escherichia
12252,Xanthomonas phage phiXv,Xanthomonas
12253,Enterococcus phage phiFC1,Enterococcus faecalis
12254,Lactobacillus phage phiFSW,Lactobacillus
12255,Pseudomonas phage phi10,Pseudomonas
12256,Pseudomonas phage phi9,Pseudomonas
12257,Pseudomonas phage phi7,Pseudomonas
12258,Lactococcus virus c2,Unknown
12259,Corynephage phi16,Unknown
12260,Corynephage 304L,Corynebacterium glutamicum
12261,Enterobacteria phage H19J,Escherichia coli
12262,Enterococcal phage FC1,Enterococcus faecalis
12263,Pseudomonas virus phiCTX,Unknown
12264,Leuconostoc phage 10MC,Leuconostoc
12265,Enterobacteria phage RB70,Escherichia coli
12266,Escherichia virus SV14,Enterobacteriaceae
12267,Enterobacteria phage FSalpha,Escherichia coli
12268,Enterobacteria phage M1,Selenomonas ruminantium
12269,Enterobacteria phage PST,Yersinia pseudotuberculosis
12270,Enterobacteria phage RB8,Escherichia coli
12271,Enterobacteria phage RB15,Escherichia coli
12272,Enterobacteria phage RB27,Escherichia coli
12273,Enterobacteria phage SV76,Enterobacteriaceae
12274,Mycobacterium virus D29,Mycobacterium
12275,Streptococcus pyogenes phage H10403,Streptococcus pyogenes
12276,Staphylococcus virus 13,Unknown
12277,Lactococcus phage phivi,Lactococcus lactis
12278,Vibrio virus fs2,Vibrio cholerae
12279,Enterobacteria phage Ac3,Enterobacterales
12280,Phage PS3,Salmonella enterica subsp. enterica serovar Typhimurium
12281,Xanthomonas phage Cf,Xanthomonas
12282,Bartonella henselae phage,Bartonella henselae
12283,Methanobacterium virus psiM1,Unknown
12284,Rhizobium phage phiU,Rhizobium leguminosarum bv. trifolii
12285,Vibrio virus KVP40,Vibrio cholerae
12286,Lactococcus phage phi31,Lactococcus
12287,Phage E,Unknown
12288,Vibrio virus fs1,Unknown
12289,Staphylococcus virus 187,Staphylococcus aureus
12290,Selenomonas phage M1,Selenomonas ruminantium
12291,Escherichia virus SV14,Unknown
12292,Enterobacteria phage RB18,Enterobacterales
12293,Phage 21,Escherichia coli
12294,Enterobacteria phage SfV,Enterobacterales
12295,Streptomyces virus phiC31,Streptomyces lividans
12296,Streptococcus virus O1205,Streptococcus
12297,Arthrobacter phage phi AAU2,Arthrobacter
12298,Haemophilus virus HP1,Unknown
12299,Lactococcus virus sk1,Unknown
12300,Mycobacterium virus D29,Mycolicibacterium smegmatis
12301,Synechococcus phage S-PM2,Synechococcus sp.
12302,Synechococcus phage S-WHM1,Synechococcus sp.
12303,Cyanophage S-BnM1,Synechococcus sp.
12304,Vibrio cholerae V86 phage,Vibrio cholerae
12305,Enterobacteria phage RB30,Escherichia coli
12306,Myxococcus virus Mx8,Myxococcus
12307,Serpulina phage VSH-1,Brachyspira hyodysenteriae
12308,Streptococcus phage Dp-1,Streptococcus
12309,Escherichia virus K5,Escherichia coli
12310,Pseudomonas virus D3,Unknown
12311,Streptomyces phage VWB,Streptomyces
12312,Clostridium botulinum phage 1C,Clostridium botulinum
12313,Bacillus phage 2C,Bacillus
12314,Enterobacteria phage SCI,Enterobacterales
12315,Clostridium botulinum phage d-sA,Clostridium botulinum
12316,Bacillus phage 12826,Bacillus cereus
12317,Bacillus virus TP21,Bacillus cereus
12318,Staphylococcus phage phi-42,Staphylococcus
12319,Haemophilus phage S2,Haemophilus
12320,Vibrio virus K139,Unknown
12321,Actinophage RP3,Unknown
12322,Bacillus virus GA1,Bacillus
12323,Escherichia virus SV14,Escherichia coli
12324,Bacillus virus PBS1,Unknown
12325,Spiroplasma virus R8A2B,Spiroplasma
12326,Bacillus phage SPR,Bacillus
12327,Lactococcus phage B1,Lactococcus
12328,Enterobacteria phage phi80,Enterobacterales
12329,Lactococcus phage phi41,Lactococcus
12330,Colitis phage,Unknown
12331,Xanthomonas phage phiLF,Xanthomonas
12332,Enterobacteria phage LP7,Enterobacterales
12333,Xanthomonas phage Lf,Xanthomonas
12334,Enterobacteria phage U3,Enterobacterales
12335,Xanthomonas virus Cf1c,Unknown
12336,Lactococcus phage mi7-9,Lactococcus
12337,Lactococcus virus c2,Lactobacillus
12338,Enterobacteria phage L,Salmonella enterica subsp. enterica serovar Typhimurium
12339,Streptomyces virus phiC31,Streptomyces coelicolor A3(2)
12340,Enterobacteria phage 82,Enterobacterales
12341,Acholeplasma virus L2,Mycoplasma
12342,Phage fuse 5,Unknown
12343,Enterobacteria phage SC1,Enterobacterales
12344,Phage 3/14,Unknown
12345,Enterobacteria phage Baker,Enterobacterales
12346,Phage N 209,Unknown
12347,Enterobacteria phage DD VI,Enterobacterales
12348,Enterobacteria phage LZ3,Enterobacterales
12349,Enterobacteria phage LZ8,Enterobacterales
12350,Phage Cz,Unknown
12351,Prevotella phage phi AR29,Prevotella ruminicola
12352,Listeria phage A118,Listeria
12353,Leuconostoc phage L10,Leuconostoc
12354,Phage LM4,Unknown
12355,Streptomyces virus R4,Streptomyces
12356,Streptococcus phage T270,Streptococcus pyogenes
12357,Lactococcus phage P001,Lactococcus lactis
12358,Lactobacillus phage PL-1,Lactobacillus casei
12359,Lactobacillus phage mv4,Lactobacillus delbrueckii subsp. bulgaricus
12360,Enterobacteria phage K1,Enterobacterales
12361,Escherichia virus 186,Escherichia coli
12362,Xanthomonas phage Lf,Xanthomonas campestris
12363,Bacillus phage beta22,Bacillus
12364,Lactobacillus phage LL-K,Lactobacillus delbrueckii subsp. lactis
12365,Enterobacteria phage C16,Enterobacterales
12366,Phage PS17,Unknown
12367,Enterobacteria phage phi-C3208,Enterobacterales
12368,Escherichia virus Lambda,Escherichia
12369,Bacillus phage SP82,Bacillus subtilis
12370,Bacillusphage phiE,Bacillus subtilis
12371,Xanthomonas phage Cf1t,Xanthomonas citri
12372,Staphylococcus phage phi-C,Staphylococcus aureus
12373,Staphylococcus phage 42D.m,Staphylococcus aureus
12374,Enterococcal phage FC1,Unknown
12375,Lactobacillus phage mv1,Lactobacillus delbrueckii
12376,Staphylococcus phage phi-42,Staphylococcus aureus
12377,Lactobacillus phage phiadh,Lactobacillus
12378,Pseudomonas phage phiPLS27,Pseudomonas
12379,Streptococcus pneumoniae phage HB-3,Streptococcus pneumoniae
12380,Lactococcus lactis phage US3,Lactococcus lactis
12381,Shigella flexneri phage X,Shigella flexneri
12382,Enterobacteria phage phi50,Enterobacterales
12383,Spiroplasma virus SpV4,Unknown
12384,Phage M13mp18,Unknown
12385,Acholeplasma virus L2,Mycoplasma sp.
12386,Lactococcus lactis phage phi 197,Lactococcus lactis
12387,Leuconostoc phage PZt11-15,Leuconostoc
12388,Leuconostocphage PAt5-12,Unknown
12389,Leuconostoc phage P54,Leuconostoc
12390,Leuconostoc phage P32,Leuconostoc
12391,Leuconostoc phage P37,Leuconostoc
12392,Lactobacillus phage mv1,Lactobacillus
12393,Enterobacteria phage PA-2,Enterobacterales
12394,Lactococcus phage (ISOLATE 7-9),Lactococcus
12395,Escherichia virus phiK,Unknown
12396,Bacillus phage M2,Bacillus
12397,Bacillus phage SPO2,Bacillus
12398,Bacillus phage SPR,Bacillus subtilis
12399,Escherichia virus St1,Escherichia
12400,Lactococcus phage phiUS3,Lactococcus
12401,Lactococcus phage F4-1,Lactococcus
12402,Shigella phage SfX,Shigella
12403,Bacillus phage PBS2,Bacillus subtilis
12404,Streptococcus pyogenes phage H4489A,Streptococcus pyogenes
12405,Enterobacteria phage 933J,Escherichia coli
12406,Staphylococcus phage L54a,Staphylococcus aureus
12407,Enterobacteria phage G14,Enterobacterales
12408,Bacillus phage H2,Bacillus
12409,Bacillus phage PBSX,Bacillus
12410,Streptococcus pyogenes phage,Streptococcus pyogenes
12411,Clostridium phage d-16 phi,Clostridium
12412,Lactococcus phage phi7-9,Lactococcus
12413,Lactococcus phage F4-1,Lactococcus lactis
12414,Enterobacteria phage phiR73,Enterobacterales
12415,Inovirus C2,Unknown
12416,Mycobacterium phage FRAT1,Mycobacterium
12417,Mycobacterium virus L5,Mycolicibacterium smegmatis
12418,Staphylococcus phage L54a,Staphylococcus
12419,Enterobacteria phage P4,Unknown
12420,Enterobacteria phage RB51,Escherichia coli
12421,Enterobacteria phage K11,Enterobacterales
12422,Enterobacteria phage LP7,Salmonella
12423,Rhizobium phage 16-3,Sinorhizobium meliloti
12424,Escherichia virus I22,Unknown
12425,Lactococcus phage phi-vML3,Lactococcus
12426,Escherichia virus 933W,Enterobacterales
12427,Bacillus phage rho11s,Bacillus subtilis
12428,Phage h30,Escherichia coli
12429,Enterobacteria phage PA-2,Escherichia coli
12430,Vibrio phage CP-T1,Vibrio
12431,Enterobacteria phage phiX174 sensu lato,Salmonella
12432,Enterobacteria phage Ox2,Escherichia coli
12433,Enterobacteria phage phi21,Bacillus subtilis
12434,Bacillus phage SPO2,Bacillus subtilis
12435,Bacillus phage rho11s,Bacillus
12436,Corynephage omega,Corynebacterium diphtheriae
12437,Enterobacteria phage ZJ/2,Escherichia coli
12438,Xanthomonas phage Xf,Xanthomonas campestris pv. oryzae
12439,Escherichia virus St1,Escherichia coli
12440,Enterobacteria phage fd,Escherichia coli
12441,Corynebacterium diphtheriae phage,Corynebacterium diphtheriae
12442,Staphylococcus phage S phi-C,Staphylococcus
12443,Corynephage omega,Unknown
12444,Escherichia virus H8,Unknown
12445,Escherichia virus CF2,Escherichia coli
12446,Escherichia virus HP3,Escherichia coli
12447,Pseudomonas virus Ab19,Pseudomonas aeruginosa
12448,Vibrio phage PV94,Vibrio vulnificus
12449,Pseudomonas virus Ab28,Pseudomonas aeruginosa
12450,Bacillus phage Hybphi3Ts,Bacillus subtilis subsp. subtilis str. 168
12451,Salmonella virus P22,Salmonella sp.
12452,Enterococcus phage EFP1,Enterococcus faecalis
12453,Staphylococcus phage vB_SauM_EW1,Staphylococcus carnosus
12454,Staphylococcus phage vB_SauM_EW13,Staphylococcus carnosus
12455,Staphylococcus phage vB_SauM_EW15,Staphylococcus carnosus
12456,Staphylococcus phage vB_SauM_EW18,Staphylococcus carnosus
12457,Staphylococcus phage vB_SauM_EW2,Staphylococcus carnosus
12458,Staphylococcus phage vB_SauM_EW20,Staphylococcus carnosus
12459,Staphylococcus phage vB_SauM_EW22,Staphylococcus carnosus
12460,Staphylococcus phage vB_SauM_EW26,Staphylococcus carnosus
12461,Staphylococcus phage vB_SauM_EW27,Staphylococcus carnosus
12462,Staphylococcus phage vB_SauM_EW29,Staphylococcus carnosus
12463,Staphylococcus phage vB_SauM_EW3,Staphylococcus carnosus
12464,Staphylococcus phage vB_SauM_EW36,Staphylococcus carnosus
12465,Staphylococcus phage vB_SauM_EW4,Staphylococcus carnosus
12466,Staphylococcus phage vB_SauM_EW41,Staphylococcus carnosus
12467,Staphylococcus phage vB_SauM_EW42,Staphylococcus carnosus
12468,Staphylococcus phage vB_SauM_EW5,Staphylococcus carnosus
12469,Staphylococcus phage vB_SauM_EW6,Staphylococcus carnosus
12470,Staphylococcus phage vB_SauM_EW7,Staphylococcus carnosus
12471,Staphylococcus phage vB_SauM_EW71,Staphylococcus carnosus
12472,Staphylococcus phage vB_SauM_EW72,Staphylococcus carnosus
12473,Staphylococcus phage vB_SauM_EW74,Staphylococcus carnosus
12474,Staphylococcus phage vB_SauM_EW9,Staphylococcus carnosus
12475,Staphylococcus phage VTCCBPA116,Staphylococcus sp.
12476,Proteus phage VTCCBPA139,Proteus mirabilis
12477,Aeromonas phage AsFcp_1,Aeromonas salmonicida
12478,Aeromonas phage AsSzw2,Aeromonas salmonicida
12479,Aeromonas phage Aszh-1,Aeromonas salmonicida
12480,Enterococcus phage EfsWh_1,Enterococcus faecalis
12481,Serratia phage KpGz_1,Klebsiella pneumoniae
12482,Serratia phage KpHz_2,Klebsiella pneumoniae
12483,Serratia phage KpLz-2_45,Klebsiella pneumoniae
12484,Serratia phage KpLz_1_41,Klebsiella pneumoniae
12485,Serratia phage KpSz_1,Klebsiella pneumoniae
12486,Serratia phage KpXa_1,Klebsiella pneumoniae
12487,Serratia phage KpYy_1_41,Klebsiella pneumoniae
12488,Serratia phage KpYy_2_45,Klebsiella pneumoniae
12489,Serratia phage KpZh_1,Klebsiella pneumoniae
12490,Serratia phage KpZh_LPS_45,Klebsiella pneumoniae
12491,Pseudomonas phage Pa-A,Pseudomonas aeruginosa PAO1
12492,Pseudomonas phage Pa-B,Pseudomonas aeruginosa PAO1
12493,Pseudomonas phage Pa-C,Pseudomonas aeruginosa PAO1
12494,Pseudomonas phage Pa-F,Pseudomonas aeruginosa PAO1
12495,Pseudomonas phage Pa-G,Pseudomonas aeruginosa PAO1
12496,Pseudomonas phage Pa-H,Pseudomonas aeruginosa PAO1
12497,Pseudomonas phage Pa-I,Pseudomonas aeruginosa PAO1
12498,Pseudomonas phage Pa-J,Pseudomonas aeruginosa PAO1
12499,Pseudomonas virus Pa-K,Pseudomonas aeruginosa PAO1
12500,Pseudomonas phage Pa-L,Pseudomonas aeruginosa PAO1
12501,Pseudomonas phage Pa-M,Pseudomonas aeruginosa PAO1
12502,Pseudomonas virus Pa-N,Pseudomonas aeruginosa PAO1
12503,Pseudomonas phage Pa-O,Pseudomonas aeruginosa PAO1
12504,Pseudomonas virus NH4,Pseudomonas aeruginosa PAO1
12505,Pseudomonas phage Pa-Q,Pseudomonas aeruginosa PAO1
12506,Pseudomonas phage Pa-S,Pseudomonas aeruginosa PAO1
12507,Pseudomonas phage Pa-U,Pseudomonas aeruginosa PAO1
12508,Pseudomonas virus Pa-V,Pseudomonas aeruginosa PAO1
12509,Pseudomonas virus Pa-X,Pseudomonas aeruginosa PAO1
12510,Pseudomonas virus Pa-Z,Pseudomonas aeruginosa PAO1
12511,Pseudomonas virus Pa-oumiga,Pseudomonas aeruginosa PAO1
